"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
1729,60,"RL",NA,10274,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam",6,7,1986,1986,"Gable","BrkFace",141,"TA","Gd","CBlock","Gd","TA","No","Rec",331,"Unf",0,345,676,"TA","Y",698,702,0,1400,0,0,2,1,3,1,"TA",6,"Typ",0,NA,"Attchd",1986,"RFn",2,465,"TA","Y",0,48,0,0,0,0,NA,0,7,2009,"WD","Normal"
1730,90,"RL",75,8250,"Pave",NA,"Reg","Lvl","Inside","Gtl","SawyerW","Norm","Duplex",6,7,1981,1981,"Gable","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"TA","Y",964,918,0,1882,0,0,2,0,4,2,"TA",8,"Typ",2,"TA","Attchd",1981,"Unf",2,612,"TA","Y",0,0,0,0,0,0,NA,0,5,2009,"WD","Normal"
1731,20,"RL",63,9750,"Pave",NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,5,1962,1962,"Hip","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",68,"BLQ",884,28,980,"Gd","Y",980,0,0,980,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1969,"Unf",2,400,"TA","Y",0,28,0,0,0,0,"MnPrv",0,11,2009,"WD","Normal"
1732,20,"RL",NA,8499,"Pave",NA,"IR1","Lvl","Corner","Gtl","Sawyer","Feedr","1Fam",5,6,1961,1961,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",660,"Unf",0,204,864,"Ex","Y",864,0,0,864,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1982,"Unf",2,732,"TA","Y",0,312,0,0,0,0,NA,0,6,2009,"WD","Normal"
1733,20,"RL",NA,9079,"Pave",NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,5,1961,1961,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",864,"Unf",0,0,864,"TA","Y",864,0,0,864,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1961,"Unf",1,440,"TA","Y",158,0,0,0,0,0,NA,0,7,2009,"WD","Normal"
1734,20,"RL",NA,9316,"Pave",NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,5,1965,1965,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",544,"Unf",0,480,1024,"Gd","Y",1020,0,0,1020,0,0,2,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1965,"Unf",1,288,"TA","Y",171,0,0,0,0,0,"MnPrv",0,5,2009,"Oth","Family"
1735,20,"RL",NA,7791,"Pave",NA,"IR1","Lvl","Inside","Gtl","Sawyer","RRAe","1Fam",5,8,1963,1995,"Gable","None",0,"Gd","Gd","CBlock","TA","TA","No","ALQ",624,"Unf",0,288,912,"Ex","Y",912,0,0,912,1,0,1,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1963,"RFn",1,300,"TA","Y",0,0,0,0,0,0,"GdWo",0,10,2009,"WD","Normal"
1736,20,"RL",65,7150,"Pave",NA,"Reg","Lvl","Inside","Gtl","Sawyer","Feedr","1Fam",5,6,1962,1962,"Gable","BrkFace",60,"TA","TA","CBlock","TA","TA","No","LwQ",140,"BLQ",590,182,912,"Gd","Y",912,0,0,912,0,1,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1962,"Unf",1,252,"TA","Y",0,0,0,0,0,0,NA,0,10,2009,"WD","Normal"
1737,20,"RL",NA,15676,"Pave",NA,"IR1","Low","Inside","Gtl","Veenker","Norm","1Fam",8,8,1980,1980,"Gable","BrkFace",115,"Gd","Gd","CBlock","Gd","Gd","Gd","ALQ",1733,"Rec",92,189,2014,"Gd","Y",2014,0,0,2014,1,0,2,0,2,1,"Gd",6,"Maj1",2,"Gd","Attchd",1980,"RFn",3,864,"TA","Y",462,0,0,255,0,0,"MnPrv",0,4,2009,"WD","Normal"
1738,60,"RL",NA,11949,"Pave",NA,"Reg","Lvl","Inside","Gtl","NoRidge","Norm","1Fam",7,8,1991,2008,"Gable","BrkFace",196,"Gd","Gd","PConc","Gd","TA","No","GLQ",601,"ALQ",216,158,975,"Ex","Y",975,780,0,1755,0,1,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1991,"Unf",2,524,"TA","Y",502,60,0,0,0,0,"GdPrv",0,7,2009,"WD","Normal"
1739,160,"FV",32,2880,"Pave","Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs",7,5,2004,2005,"Gable","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1376,1376,"Ex","Y",1376,1629,0,3005,0,0,2,1,3,1,"Gd",9,"Mod",1,"TA","BuiltIn",2004,"Fin",3,704,"TA","Y",0,177,0,0,0,0,NA,0,7,2009,"WD","Normal"
1740,120,"FV",NA,3830,"Pave","Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE",6,5,2008,2008,"Gable","Stone",280,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1726,1726,"Ex","Y",1726,0,0,1726,0,0,2,1,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2008,"Fin",2,561,"TA","Y",0,254,0,0,0,0,NA,0,1,2009,"New","Partial"
1741,120,"FV",NA,4217,"Pave","Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE",6,5,2008,2008,"Gable","Stone",252,"Gd","TA","PConc","Gd","TA","No","GLQ",962,"Unf",0,183,1145,"Ex","Y",1256,0,0,1256,1,0,1,1,1,1,"Gd",5,"Typ",1,"Gd","Attchd",2008,"Fin",2,641,"TA","Y",0,169,0,0,0,0,NA,0,3,2009,"WD","Normal"
1742,160,"FV",34,2998,"Pave",NA,"Reg","Lvl","Inside","Gtl","Somerst","Norm","TwnhsE",6,5,2000,2000,"Gable","BrkFace",513,"Gd","TA","PConc","Gd","TA","No","GLQ",507,"Unf",0,249,756,"Ex","Y",756,756,0,1512,1,0,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2000,"Unf",2,440,"TA","Y",0,32,0,0,0,0,NA,0,8,2009,"WD","Normal"
1743,160,"FV",35,3768,"Pave",NA,"Reg","Lvl","FR2","Gtl","Somerst","Norm","TwnhsE",7,5,1999,1999,"Hip","BrkFace",218,"Gd","TA","PConc","Gd","TA","No","GLQ",549,"Unf",0,142,691,"Ex","Y",713,739,0,1452,1,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",1999,"Unf",2,506,"TA","Y",0,34,0,0,0,0,NA,0,9,2009,"WD","Normal"
1744,20,"RL",NA,14694,"Pave",NA,"IR1","Lvl","Inside","Gtl","Veenker","Norm","1Fam",8,9,1977,2008,"Gable","BrkFace",450,"Ex","Ex","CBlock","Gd","Gd","Gd","GLQ",1252,"ALQ",136,306,1694,"Ex","Y",1694,0,0,1694,1,0,2,0,2,1,"Ex",5,"Typ",1,"Gd","Attchd",1977,"Fin",2,642,"TA","Y",501,120,0,225,0,0,NA,0,6,2009,"WD","Normal"
1745,20,"RL",110,15417,"Pave",NA,"Reg","Lvl","Inside","Gtl","Veenker","Norm","1Fam",7,5,1981,1981,"Gable","None",0,"Gd","TA","CBlock","Gd","TA","Mn","LwQ",121,"Unf",0,1619,1740,"TA","Y",1740,0,0,1740,0,0,1,1,2,1,"Gd",7,"Typ",0,NA,"Attchd",1981,"RFn",2,540,"TA","Y",228,20,218,0,0,0,NA,0,6,2009,"WD","Normal"
1746,80,"RL",80,9600,"Pave",NA,"Reg","Low","FR2","Mod","Veenker","Feedr","1Fam",8,5,1976,1976,"Gable","BrkFace",200,"Gd","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,392,392,"Ex","Y",1487,1012,0,2499,0,0,2,1,4,1,"TA",5,"Typ",1,"Gd","Attchd",1976,"Unf",2,527,"TA","Y",0,64,0,0,0,0,NA,0,1,2009,"WD","Abnorml"
1747,60,"RL",NA,12732,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","NWAmes","PosN","1Fam",7,6,1974,1974,"Gable","None",0,"TA","TA","CBlock","TA","TA","Mn","GLQ",560,"LwQ",42,150,752,"TA","Y",1285,782,0,2067,0,0,2,1,3,1,"Gd",7,"Typ",2,"TA","Attchd",1974,"RFn",2,784,"TA","Y",297,40,0,0,0,0,NA,0,6,2009,"WD","Normal"
1748,60,"RL",80,10400,"Pave",NA,"Reg","Lvl","Inside","Gtl","NWAmes","PosA","1Fam",6,7,1967,1997,"Gable","BrkFace",256,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,932,932,"Gd","Y",1271,1369,0,2640,0,0,2,1,5,1,"Gd",8,"Typ",1,"TA","Attchd",1967,"RFn",2,515,"TA","Y",0,120,0,0,168,0,NA,0,5,2009,"WD","Normal"
1749,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","Inside","Gtl","NWAmes","Feedr","1Fam",5,5,1969,1969,"Gable","BrkFace",128,"TA","TA","CBlock","Gd","TA","Mn","ALQ",553,"Rec",147,588,1288,"TA","Y",1336,0,0,1336,0,1,2,0,3,1,"TA",6,"Typ",1,"Fa","Attchd",1969,"RFn",2,502,"TA","Y",312,11,0,0,0,0,NA,650,8,2009,"WD","Normal"
1750,20,"RL",75,9000,"Pave",NA,"Reg","Lvl","Inside","Gtl","NWAmes","Feedr","1Fam",6,5,1969,1969,"Gable","BrkFace",200,"TA","TA","CBlock","TA","TA","Av","BLQ",955,"Unf",0,261,1216,"TA","Y",1216,0,0,1216,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1969,"Unf",1,336,"TA","Y",0,0,0,0,0,0,"MnPrv",0,8,2009,"WD","Abnorml"
1751,60,"RL",NA,13774,"Pave",NA,"IR1","Lvl","Inside","Gtl","NWAmes","Norm","1Fam",7,7,1977,1992,"Hip","BrkFace",283,"TA","Gd","PConc","Gd","TA","No","GLQ",432,"Unf",0,476,908,"Ex","Y",1316,972,0,2288,0,0,1,2,4,1,"Gd",8,"Typ",2,"TA","Attchd",1977,"RFn",2,520,"TA","Y",321,72,0,0,156,0,NA,0,11,2009,"WD","Normal"
1752,20,"RL",62,7130,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,1967,1967,"Gable","None",0,"TA","TA","PConc","TA","TA","No","BLQ",648,"Unf",0,216,864,"TA","Y",864,0,0,864,0,1,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1967,"Fin",1,312,"TA","Y",0,0,0,0,0,0,"GdPrv",0,6,2009,"WD","Normal"
1753,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1967,1967,"Hip","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1568,1568,"TA","Y",1568,0,0,1568,0,0,1,1,3,1,"TA",7,"Typ",0,NA,"Attchd",1967,"Unf",2,440,"TA","Y",160,40,0,0,0,0,NA,0,3,2009,"COD","Normal"
1754,60,"RL",80,9600,"Pave",NA,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam",7,5,1974,1974,"Gable","BrkFace",252,"TA","TA","CBlock","TA","TA","No","ALQ",698,"Unf",0,467,1165,"Gd","Y",1165,896,0,2061,0,1,2,1,4,1,"TA",8,"Typ",1,"TA","Attchd",1974,"RFn",2,498,"TA","Y",0,77,0,0,196,0,NA,0,5,2009,"COD","Abnorml"
1755,85,"RL",NA,16500,"Pave",NA,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam",6,5,1971,1971,"Hip","BrkFace",509,"TA","TA","CBlock","Gd","TA","Av","GLQ",962,"Unf",0,270,1232,"Fa","Y",1320,0,0,1320,0,1,2,0,3,1,"TA",5,"Typ",1,"Gd","Attchd",1971,"RFn",2,495,"TA","Y",0,20,0,0,0,0,NA,0,5,2009,"WD","Normal"
1756,20,"RL",60,7436,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",4,7,1960,1960,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",734,"Unf",0,160,894,"Gd","Y",894,0,0,894,1,0,1,0,2,1,"TA",5,"Typ",1,"Po","Detchd",1988,"Unf",2,396,"TA","Y",0,0,0,360,0,0,"GdWo",0,8,2009,"WD","Normal"
1757,20,"RL",65,8125,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,7,1959,1959,"Hip","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",403,"Unf",0,461,864,"Ex","Y",864,0,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1960,"Unf",1,308,"TA","Y",0,0,0,0,0,0,NA,0,9,2009,"WD","Normal"
1758,20,"RL",NA,9450,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",4,5,1957,1957,"Gable","BrkFace",160,"TA","TA","CBlock","TA","TA","No","BLQ",775,"Unf",0,265,1040,"TA","Y",1362,0,0,1362,1,0,1,0,3,1,"TA",6,"Typ",1,"Gd","Attchd",1982,"RFn",3,768,"TA","Y",0,0,84,0,0,0,"MnPrv",0,5,2009,"WD","Normal"
1759,20,"RL",NA,13495,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",5,6,1956,1956,"Gable","BrkFace",70,"TA","Gd","CBlock","TA","TA","No","BLQ",625,"LwQ",201,222,1048,"Fa","Y",1728,0,0,1728,1,0,2,0,3,1,"TA",7,"Min1",1,"Gd","Detchd",1956,"Unf",2,576,"TA","Y",0,99,0,0,0,0,NA,0,7,2009,"WD","Normal"
1760,20,"RL",85,9350,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,1961,1995,"Gable","BrkFace",217,"TA","TA","CBlock","TA","TA","No","ALQ",310,"BLQ",512,491,1313,"TA","Y",1313,0,0,1313,1,0,1,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",1961,"RFn",2,610,"TA","Y",172,28,0,0,121,0,"MnPrv",0,2,2009,"WD","Normal"
1761,20,"RL",115,10500,"Pave",NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1964,1964,"Gable","Stone",144,"TA","Gd","CBlock","TA","TA","No","LwQ",998,"Unf",0,294,1292,"TA","Y",1292,0,0,1292,1,0,1,1,3,1,"TA",6,"Typ",2,"Gd","Detchd",1964,"Unf",2,520,"TA","Y",0,32,0,0,92,0,NA,0,7,2009,"COD","Abnorml"
1762,60,"RL",NA,8970,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",5,6,1965,1965,"Gable","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",388,"Unf",0,356,744,"TA","Y",825,1315,0,2140,0,0,2,1,4,1,"TA",7,"Typ",1,"TA","Attchd",1965,"Fin",2,549,"TA","Y",0,40,264,0,0,0,"MnPrv",0,6,2009,"WD","Normal"
1763,80,"RL",85,11475,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",6,6,1961,1961,"Hip","BrkFace",90,"TA","TA","CBlock","TA","TA","Gd","ALQ",568,"Unf",0,640,1208,"Ex","Y",1576,0,0,1576,1,0,1,0,4,1,"Gd",7,"Typ",1,"Po","BuiltIn",1961,"Fin",2,368,"TA","Y",85,0,0,0,0,0,NA,0,9,2009,"WD","Normal"
1764,20,"RL",68,9768,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1955,1955,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",100,"ALQ",247,613,960,"Gd","Y",960,0,0,960,1,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1955,"RFn",1,330,"TA","Y",0,70,0,0,0,0,"MnPrv",0,2,2009,"WD","Normal"
1765,20,"RL",90,9900,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Feedr","1Fam",6,5,1967,1967,"Gable","None",0,"Gd","TA","CBlock","TA","TA","No","Rec",1173,"Unf",0,507,1680,"TA","Y",1691,0,0,1691,1,0,1,0,2,1,"TA",5,"Typ",0,NA,"Attchd",1967,"Unf",2,550,"TA","Y",0,67,260,0,0,0,"MnPrv",0,4,2009,"WD","Normal"
1766,20,"RL",92,10573,"Pave",NA,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",6,6,1961,1961,"Hip","BrkFace",3,"TA","TA","CBlock","TA","TA","No","Rec",1312,"Unf",0,141,1453,"Ex","Y",1453,0,0,1453,1,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1961,"RFn",2,530,"TA","Y",0,49,0,0,288,0,"GdPrv",0,4,2009,"WD","Normal"
1767,20,"RL",80,14695,"Pave",NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam",6,8,1966,2008,"Gable","BrkFace",210,"TA","Gd","CBlock","TA","TA","No","ALQ",1387,"Unf",0,175,1562,"Gd","Y",1567,0,0,1567,1,0,2,0,2,1,"Gd",5,"Typ",2,"Gd","Attchd",1966,"Unf",2,542,"TA","Y",0,110,0,0,342,0,"GdWo",0,7,2009,"WD","Normal"
1768,20,"RL",73,8760,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,7,1956,1956,"Gable","BrkFace",164,"Gd","TA","CBlock","TA","TA","No","ALQ",856,"Unf",0,313,1169,"TA","Y",1144,0,0,1144,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1956,"RFn",1,286,"TA","Y",257,0,0,0,0,0,NA,0,6,2009,"WD","Normal"
1769,20,"RL",NA,12285,"Pave",NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam",7,6,1960,1960,"Gable","BrkFace",128,"TA","TA","CBlock","TA","TA","No","BLQ",544,"Unf",0,785,1329,"Gd","Y",1329,0,0,1329,0,0,1,1,3,1,"TA",5,"Typ",2,"Gd","Attchd",1960,"Unf",2,441,"TA","Y",0,0,203,0,0,0,NA,0,8,2009,"WD","Normal"
1770,20,"RL",66,9240,"Pave",NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam",6,8,1959,1998,"Hip","None",0,"Gd","TA","CBlock","TA","TA","No","ALQ",708,"Unf",0,280,988,"TA","Y",988,0,0,988,1,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1959,"Unf",1,297,"TA","Y",156,0,0,0,0,0,NA,0,6,2009,"WD","Normal"
1771,20,"RL",70,8750,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1956,1956,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",435,"BLQ",202,565,1202,"TA","Y",1202,0,0,1202,0,1,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1956,"RFn",1,304,"TA","Y",0,35,120,0,0,0,"GdWo",0,11,2009,"COD","Abnorml"
1772,20,"RL",70,8750,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1955,1955,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",172,"LwQ",483,727,1382,"Gd","Y",1382,0,0,1382,0,1,1,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1955,"Unf",1,350,"TA","Y",280,0,0,0,0,0,"GdWo",0,7,2009,"WD","Normal"
1773,20,"RL",80,10400,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",4,5,1956,1956,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Rec",155,"LwQ",750,295,1200,"TA","Y",1200,0,0,1200,1,0,1,0,3,1,"TA",6,"Typ",2,"Gd","Attchd",1956,"Unf",1,294,"TA","Y",0,189,140,0,0,0,NA,0,11,2009,"WD","Family"
1774,90,"RL",76,9482,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Duplex",5,4,1958,1958,"Hip","BrkFace",657,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,1866,1866,"Ex","Y",1866,0,0,1866,0,0,2,0,4,2,"TA",8,"Typ",0,NA,"Detchd",1958,"Unf",2,495,"Fa","Y",0,0,0,0,0,0,NA,0,12,2009,"WD","Normal"
1775,20,"RL",53,8128,"Pave",NA,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam",6,7,1954,1954,"Hip","BrkFace",80,"TA","TA","CBlock","TA","TA","No","ALQ",490,"Unf",0,572,1062,"Gd","Y",1062,0,0,1062,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1954,"Unf",1,297,"TA","Y",0,0,0,0,0,0,NA,0,2,2009,"WD","Normal"
1776,20,"RL",67,13070,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",5,5,1951,1951,"Hip","None",0,"TA","TA","CBlock","TA","TA","No","Rec",308,"Unf",0,323,631,"TA","Y",1112,0,0,1112,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Basment",1951,"Unf",2,480,"TA","Y",0,0,0,0,255,0,NA,0,10,2009,"WD","Normal"
1777,30,"RL",80,8480,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam",5,6,1945,1950,"Gable","None",0,"TA","Gd","CBlock","TA","TA","No","BLQ",700,"Unf",0,93,793,"TA","Y",793,0,0,793,1,0,1,0,2,1,"Fa",4,"Typ",0,NA,"Detchd",1945,"Unf",1,240,"TA","Y",0,0,0,0,0,0,NA,0,8,2009,"WD","Normal"
1778,20,"RL",60,7626,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,8,1952,2005,"Hip","None",0,"Gd","TA","CBlock","TA","TA","No","GLQ",931,"Unf",0,100,1031,"Gd","Y",1031,0,0,1031,1,0,1,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1952,"Unf",1,230,"TA","Y",0,0,0,0,0,0,"MnPrv",0,3,2009,"WD","Normal"
1779,20,"RL",75,9533,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,5,1953,1953,"Hip","BrkFace",140,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"TA","Y",1210,0,0,1210,0,0,1,1,2,1,"TA",7,"Typ",0,NA,"Attchd",1953,"Fin",1,616,"TA","Y",208,0,100,0,0,0,"MnPrv",0,8,2009,"ConLD","Normal"
1780,60,"RL",78,11419,"Pave",NA,"Reg","Lvl","Corner","Gtl","NAmes","Artery","1Fam",7,7,1948,1999,"Gable","None",0,"TA","TA","CBlock","TA","TA","Mn","ALQ",699,"Unf",0,0,699,"Ex","Y",801,726,0,1527,1,0,1,1,3,1,"TA",6,"Typ",1,"Gd","Attchd",1948,"Unf",2,410,"TA","Y",0,0,134,0,0,0,"GdWo",0,12,2009,"WD","Normal"
1781,20,"RL",60,9600,"Pave",NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,1950,1950,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",390,"Unf",0,810,1200,"TA","Y",1200,0,0,1200,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1950,"Fin",1,246,"TA","Y",126,0,0,0,0,0,"GdWo",0,8,2009,"WD","Normal"
1782,20,"RL",53,5470,"Pave",NA,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam",3,5,1958,1958,"Gable","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,792,792,"Gd","Y",792,0,0,792,0,0,1,0,2,1,"TA",4,"Typ",0,NA,"Attchd",1958,"Unf",1,366,"TA","Y",0,90,0,0,0,0,NA,0,8,2009,"WD","Normal"
1783,60,"RL",60,10800,"Pave",NA,"Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam",5,7,1939,2006,"Gable","None",0,"TA","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,676,676,"Ex","Y",676,676,0,1352,0,1,2,0,4,1,"Gd",7,"Typ",0,NA,"Detchd",1939,"Unf",2,720,"TA","Y",187,0,128,0,0,0,NA,0,8,2009,"WD","Normal"
1784,70,"RL",80,8146,"Pave",NA,"Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam",4,8,1900,2003,"Gable","None",0,"Gd","Gd","BrkTil","Fa","TA","No","Unf",0,"Unf",0,405,405,"Gd","Y",717,322,0,1039,0,0,1,0,2,1,"TA",6,"Typ",0,NA,"Detchd",1940,"Unf",1,281,"TA","N",0,0,168,0,111,0,NA,0,5,2009,"WD","Normal"
1785,30,"RL",60,10230,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam",5,7,1925,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1054,1054,"Ex","Y",1078,0,0,1078,0,0,1,0,3,1,"Ex",6,"Typ",0,NA,"Detchd",1987,"Unf",1,264,"TA","N",0,0,0,0,112,0,"GdWo",0,12,2009,"WD","Normal"
1786,50,"RL",60,10410,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam",4,5,1915,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1313,1313,"TA","Y",1313,0,1064,2377,0,0,2,0,3,1,"Gd",8,"Min2",1,"TA","Detchd",1954,"Unf",2,528,"TA","Y",0,0,432,0,0,0,NA,0,6,2009,"WD","Normal"
1787,70,"RL",60,7200,"Pave",NA,"Reg","Lvl","Corner","Gtl","OldTown","Artery","1Fam",7,9,1910,2008,"Gable","None",0,"Gd","Gd","PConc","TA","TA","No","Unf",0,"Unf",0,560,560,"Ex","Y",930,760,0,1690,0,0,2,0,4,1,"Gd",5,"Typ",0,NA,"Detchd",2008,"Unf",2,624,"TA","Y",0,0,112,0,0,0,NA,0,8,2009,"WD","Normal"
1788,30,"RL",90,5400,"Pave",NA,"Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam",2,5,1940,1950,"Gable","None",0,"Fa","TA","PConc","Fa","TA","No","Unf",0,"Unf",0,416,416,"Gd","N",599,0,0,599,1,0,1,0,2,1,"Gd",4,"Typ",0,NA,NA,NA,NA,0,0,NA,"N",0,81,0,0,0,0,NA,0,6,2009,"WD","Normal"
1789,30,"RL",60,10800,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam",5,7,1920,1950,"Gable","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,720,720,"TA","N",846,0,0,846,0,0,1,0,2,1,"Gd",4,"Typ",0,NA,"Detchd",1980,"Fin",2,576,"TA","N",0,0,0,0,0,0,NA,0,6,2009,"WD","Normal"
